Player name:,Bid:,Won by:,,Budgets,,,Budget Remaining,Players
Mumbai Indians,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Rohit Sharma (vc),35,Vihaan,,,,,,
Suryakumar Yadav,27,Aarav,,,,,,
Naman Dhir,,,,,,,,
Bevon Jacobs,,,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Hardik Pandya (c),41,Aarya,,,,,,
Raj Bawa,,,,,,,,
Corbin Bosch,,,,,,,,
Will Jacks,7,Vihaan,,,,,,
Mitchell Santner,20,Aarya,,,,,,
Tilak Varma,25,Krish,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Trent Boult,27,Sippy,,,,,,
Deepak Chahar,11,Sippy,,,,,,
Jasprit Bumrah,11,Sidhant,,,,,,
Reece Topley,,,,,,,,
Ashwani Kumar,,,,,,,,
Arjun Tendulkar,,,,,,,,
Vignesh Puthur,,,,,,,,
Satyanarayana Raju,,,,,,,,
Karn Sharma,,,,,,,,
Mujeeb Ur Rahman,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
Ryan Rickelton,23,Agastya,,,,,,
Krishnan Shrijith,,,,,,,,
Robin Minz,,,,,,,,
,,,,,,,,
Punjab Kings,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Shreyas Iyer (c),36,Sippy,,,,,,
Priyansh Arya,,,,,,,,
Pyla Avinash,,,,,,,,
Harnoor Singh,,,,,,,,
Nehal Wadhera,6,Sippy,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Glenn Maxwell,16,Aarav,,,,,,
Marcus Stoinis,27,Agastya,,,,,,
Azmatullah Omarzai,8,Vihaan,,,,,,
Aaron Hardie,,,,,,,,
Marco Jansen,11,Sidhant,,,,,,
Shashank Singh,5,Aarya,,,,,,
Musheer Khan,,,,,,,,
Suryansh Shedge,,,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Arshdeep Singh,24,Aarav,,,,,,
Yuzvendra Chahal,25,Agastya,,,,,,
Lockie Ferguson,5,Krish,,,,,,
Kuldeep Sen,,,,,,,,
Vijaykumar Vyshak,,,,,,,,
Yash Thakur,,,,,,,,
Xavier Bartlett,,,,,,,,
Harpreet Brar,5,Aarya,,,,,,
Praveen Dubey,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
Josh Inglis,16,Vihaan,,,,,,
Prabhsimran Singh,15,Krish,,,,,,
Vishnu Vinod,,,,,,,,
,,,,,,,,
Rajasthan Royals,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Sanju Samson (c),23,Sidhant,,,,,,
Shubham Dubey,,,,,,,,
Shimron Hetmyer,5,Sidhant,,,,,,
Yashasvi Jaiswal,27,Aarav,,,,,,
Nitish Rana,5,Agastya,,,,,,
Vaibhav Suryavanshi,,,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Wanindu Hasaranga,10,Krish,,,,,,
Riyan Parag,7,Vihaan,,,,,,
Yudhvir Singh,,,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Jofra Archer,7,Sidhant,,,,,,
Ashok Sharma,,,,,,,,
Tushar Deshpande,,,,,,,,
Fazalhaq Farooqi,5,Agastya,,,,,,
Kumar Kartikeya,,,,,,,,
Akash Madhwal,,,,,,,,
Kwena Maphaka,,,,,,,,
Sandeep Sharma,10,Vihaan,,,,,,
Maheesh Theekshana,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
Dhruv Jurel,5,Sippy,,,,,,
Kunal Singh Rathore,,,,,,,,
,,,,,,,,
Royal Challengers Bengaluru,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Rajat Patidar (c),8,Aarav,,,,,,
Virat Kohli,50,Aarya,,,,,,
Devdutt Padikkal,,,,,,,,
Swastik Chikara,,,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Liam Livingstone,9,Sidhant,,,,,,
Krunal Pandya,6,Agastya,,,,,,
Tim David,5,Vihaan,,,,,,
Jacob Bethell,,,,,,,,
Romario Shepherd,,,,,,,,
Swapnil Singh,,,,,,,,
Manoj Bhandage,,,,,,,,
Mohit Rathee,,,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Josh Hazlewood,10,Sidhant,,,,,,
Bhuvneshwar Kumar,12,Krish,,,,,,
Lungi Ngidi,,,,,,,,
Rasikh Salam,5,Aarya,,,,,,
Yash Dayal,5,Aarya,,,,,,
Nuwan Thushara,,,,,,,,
Abhinandan Singh,,,,,,,,
Suyash Sharma,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
Phil Salt,26,Sidhant,,,,,,
Jitesh Sharma,,,,,,,,
,,,,,,,,
Sunrisers Hyderabad,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Travis Head,50,Sidhant,,,,,,
Sachin Baby,,,,,,,,
Aniket Verma,,,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Abhishek Sharma,40,Krish,,,,,,
Abhinav Manohar,,,,,,,,
Kamindu Mendis,,,,,,,,
Wiaan Mulder,,,,,,,,
Nitish Kumar Reddy,16,Sippy,,,,,,
Atharva Taide,,,,,,,,
Pat Cummins (c),34,Sidhant,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Rahul Chahar,5,Aarav,,,,,,
Eshan Malinga,,,,,,,,
Mohammed Shami,22,Agastya,,,,,,
Harshal Patel,5,Aarav,,,,,,
Simarjeet Singh,,,,,,,,
Jaydev Unadkat,,,,,,,,
Adam Zampa,10,Krish,,,,,,
Zeeshan Ansari,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
Ishan Kishan,13,Aarav,,,,,,
Heinrich Klaasen,17,Sippy,,,,,,
